Name,key,Roughness,Thickness,Conductivity,Density,Specific_Heat,Thermal_Resistance
F06 EIFS finish,Material,Smooth,0.0095,0.72,1856.0,840.0,
F07 25mm stucco,Material,Smooth,0.0254,0.72,1856.0,840.0,
F08 Metal surface,Material,Smooth,0.0008,45.28,7824.0,500.0,
F09 Opaque spandrel glass,Material,Smooth,0.0064,0.99,2528.0,880.0,
F10 25mm stone,Material,MediumRough,0.0254,3.17,2560.0,790.0,
F11 Wood siding,Material,MediumSmooth,0.0127,0.09,592.0,1170.0,
F12 Asphalt shingles,Material,VeryRough,0.0032,0.04,1120.0,1260.0,
F13 Built-up roofing,Material,Rough,0.0095,0.16,1120.0,1460.0,
F14 Slate or tile,Material,VeryRough,0.0127,1.59,1920.0,1260.0,
F15 Wood shingles,Material,VeryRough,0.0064,0.04,592.0,1300.0,
F16 Acoustic tile,Material,MediumSmooth,0.0191,0.06,368.0,590.0,
F17 Carpet,Material,MediumRough,0.0127,0.06,288.0,1380.0,
F18 Terrazzo,Material,Rough,0.0254,1.8,2560.0,790.0,
G01 16mm gypsum board,Material,MediumSmooth,0.0159,0.16,800.0,1090.0,
G01a 19mm gypsum board,Material,MediumSmooth,0.019,0.16,800.0,1090.0,
G02 16mm plywood,Material,Smooth,0.0159,0.12,544.0,1210.0,
G03 13mm fiberboard sheathing,Material,Smooth,0.0127,0.07,400.0,1300.0,
G04 13mm wood,Material,MediumSmooth,0.0127,0.15,608.0,1630.0,
G05 25mm wood,Material,MediumSmooth,0.0254,0.15,608.0,1630.0,
G06 50mm wood,Material,MediumSmooth,0.0508,0.15,608.0,1630.0,
G07 100mm wood,Material,MediumSmooth,0.1016,0.15,608.0,1630.0,
I01 25mm insulation board,Material,MediumRough,0.0254,0.03,43.0,1210.0,
I02 50mm insulation board,Material,MediumRough,0.0508,0.03,43.0,1210.0,
I03 75mm insulation board,Material,MediumRough,0.0762,0.03,43.0,1210.0,
I04 89mm batt insulation,Material,VeryRough,0.0894,0.05,19.0,960.0,
I05 154mm batt insulation,Material,VeryRough,0.1544,0.05,19.0,960.0,
I06 244mm batt insulation,Material,VeryRough,0.2438,0.05,19.0,960.0,
M01 100mm brick,Material,MediumRough,0.1016,0.89,1920.0,790.0,
M02 150mm lightweight concrete block,Material,MediumRough,0.1524,0.49,512.0,880.0,
M03 200mm lightweight concrete block,Material,MediumRough,0.2032,0.5,464.0,880.0,
M04 300mm lightweight concrete block,Material,MediumRough,0.3048,0.71,512.0,880.0,
M05 200mm concrete block,Material,MediumRough,0.2032,1.11,800.0,920.0,
M06 300mm concrete block,Material,MediumRough,0.3048,1.4,800.0,920.0,
M07 150mm lightweight concrete block (filled),Material,MediumRough,0.1524,0.29,512.0,880.0,
M08 200mm lightweight concrete block (filled),Material,MediumRough,0.2032,0.26,464.0,880.0,
M09 300mm lightweight concrete block (filled),Material,MediumRough,0.3048,0.29,512.0,880.0,
M10 200mm concrete block (filled),Material,MediumRough,0.2032,0.72,800.0,920.0,
M11 100mm lightweight concrete,Material,MediumRough,0.1016,0.53,1280.0,840.0,
M12 150mm lightweight concrete,Material,MediumRough,0.1524,0.53,1280.0,840.0,
M13 200mm lightweight concrete,Material,MediumRough,0.2032,0.53,1280.0,840.0,
M14a 100mm heavyweight concrete,Material,MediumRough,0.1016,1.95,2240.0,900.0,
M14 150mm heavyweight concrete,Material,MediumRough,0.1524,1.95,2240.0,900.0,
M15 200mm heavyweight concrete,Material,MediumRough,0.2032,1.95,2240.0,900.0,
M16 300mm heavyweight concrete,Material,MediumRough,0.3048,1.95,2240.0,900.0,
M17 50mm lightweight concrete roof ballast,Material,MediumRough,0.0508,0.19,640.0,840.0,
Asbestos-cement board - 3.2mm,Material,Smooth,0.0032,0.58,1900.0,1000.0,
Asbestos-cement board - 6.4mm,Material,Smooth,0.0064,0.58,1900.0,1000.0,
Gypsum or plaster board - 9.5mm,Material,MediumSmooth,0.0095,0.58,800.0,1090.0,
Gypsum or plaster board - 2.7mm,Material,MediumSmooth,0.0027,0.58,800.0,1090.0,
Gypsum or plaster board - 5.9mm,Material,MediumSmooth,0.0059,0.58,800.0,1090.0,
