,City,Latitude,Longitude,Elevation,WeatherFile
1,Arcata,41.0,124.1,203,CA_ARCATA-AP_725945S_CZ2022
2,Santa Rosa,38.5,122.8,125,CA_SANTA-ROSA-AP_724957S_CZ2022
3,Oakland,37.7,122.2,6,CA_OAKLAND-METRO-AP_724930S_CZ2022
4,San Jose-Reid,37.3,121.8,135,CA_SAN-JOSE-REID-HILLV_724946S_CZ2022
5,Santa Maria,34.9,120.4,253,CA_SANTA-MARIA-PUBLIC-AP_723940S_CZ2022
6,Torrance,33.8,118.3,88,CA_TORRANCE-MUNI-AP_722955S_CZ2022
7,San Diego-Lindbergh,32.7,117.2,13,CA_SAN-DIEGO-LINDBERGH-FLD_722900S_CZ2022
8,Fullerton,33.9,118.0,95,CA_FULLERTON-MUNI-AP_722976S_CZ2022
9,Burbank-Glendale,34.2,118.3,741,CA_BURBANK-GLNDLE-PASAD-AP_722880S_CZ2022
10,Riverside,33.9,117.4,840,CA_RIVERSIDE-MUNI_722869S_CZ2022
11,Red Bluff,40.1,122.2,348,CA_RED-BLUFF-MUNI-AP_725910S_CZ2022
12,Sacramento,38.5,121.5,16,CA_SACRAMENTO-EXECUTIVE-AP_724830S_CZ2022
13,Fresno,36.8,119.7,335,CA_FRESNO-YOSEMITE-IAP_723890S_CZ2022
14,Palmdale,34.6,118.0,2523,CA_PALMDALE-AP_723820S_CZ2022
15,Palm Springs-Intl,33.8,116.5,475,CA_PALM-SPRINGS-IAP_722868S_CZ2022
16,Blue Canyon,39.2,120.7,5279,CA_BLUE-CANYON-AP_725845S_CZ2022
